Язык программирования,Создан,Создатель
Python,1991,Гвидо ван Россум
Java,1995,Сан Микросистемс
C++,"",Бьёрн Страуструп
JavaScript,1995,Brendan Eich
Go,2007,Роб Пайк
Rust,2010,Graydon Hoare
Swift,2014,Apple Inc.
Kotlin,2011,JetBrains
Ruby,1995,Yukihiro Matsumoto
PHP,1994,Rasmus Lerdorf
C#,2000,Microsoft Corporation
TypeScript,2012,Microsoft Corporation
Scala,2004,Martin Odersky
Perl,1987,Larry Wall
Lua,1993,PUC-Rio
R,1993,Ross Ihaka and Robert Gentleman
Groovy,2003,James Strachan and Bob McWhirter
Dart,2011,Dart team (Google)
MATLAB,1984,Cleve Moler (MathWorks)
Haskell,1990,Haskell Curry (Haskell.org)
